pair_id,interp_block,record_point,t,d
0,0,resid_post_10,0.1800,0.075461
0,0,resid_post_11,0.1800,0.068132
0,0,logits,0.1900,0.043368
0,0,resid_post_1,0.1900,0.177510
0,0,resid_post_2,0.1900,0.171900
0,0,resid_post_3,0.1900,0.160631
0,0,resid_post_4,0.1900,0.136440
0,0,resid_post_5,0.1900,0.112457
0,0,resid_post_6,0.1900,0.101402
0,0,resid_post_7,0.1900,0.092859
0,0,resid_post_8,0.1900,0.090557
0,0,resid_post_9,0.1900,0.085304
0,0,resid_post_10,0.1900,0.080262
0,0,resid_post_11,0.1900,0.072621
0,0,logits,0.2000,0.046433
0,0,resid_post_1,0.2000,0.187148
0,0,resid_post_2,0.2000,0.181518
0,0,resid_post_3,0.2000,0.169191
0,0,resid_post_4,0.2000,0.143927
0,0,resid_post_5,0.2000,0.118827
0,0,resid_post_6,0.2000,0.107269
0,0,resid_post_7,0.2000,0.098385
0,0,resid_post_8,0.2000,0.095999
0,0,resid_post_9,0.2000,0.090488
0,0,resid_post_10,0.2000,0.085177
0,0,resid_post_11,0.2000,0.077231
0,0,logits,0.2100,0.049636
0,0,resid_post_1,0.2100,0.196831
0,0,resid_post_2,0.2100,0.191177
0,0,resid_post_3,0.2100,0.177740
0,0,resid_post_4,0.2100,0.151468
0,0,resid_post_5,0.2100,0.125286
0,0,resid_post_6,0.2100,0.113243
0,0,resid_post_7,0.2100,0.104035
0,0,resid_post_8,0.2100,0.101570
0,0,resid_post_9,0.2100,0.095799
0,0,resid_post_10,0.2100,0.090218
0,0,resid_post_11,0.2100,0.081979
0,0,logits,0.2200,0.052994
0,0,resid_post_1,0.2200,0.206562
0,0,resid_post_2,0.2200,0.200875
0,0,resid_post_3,0.2200,0.186282
0,0,resid_post_4,0.2200,0.159077
0,0,resid_post_5,0.2200,0.131849
0,0,resid_post_6,0.2200,0.119341
0,0,resid_post_7,0.2200,0.109825
0,0,resid_post_8,0.2200,0.107287
0,0,resid_post_9,0.2200,0.101251
0,0,resid_post_10,0.2200,0.095405
0,0,resid_post_11,0.2200,0.086879
0,0,logits,0.2300,0.056527
0,0,resid_post_1,0.2300,0.216346
0,0,resid_post_2,0.2300,0.210611
0,0,resid_post_3,0.2300,0.194819
0,0,resid_post_4,0.2300,0.166764
0,0,resid_post_5,0.2300,0.138531
0,0,resid_post_6,0.2300,0.125581
0,0,resid_post_7,0.2300,0.115777
0,0,resid_post_8,0.2300,0.113170
0,0,resid_post_9,0.2300,0.106865
0,0,resid_post_10,0.2300,0.100756
0,0,resid_post_11,0.2300,0.091951
0,0,logits,0.2400,0.060259
0,0,resid_post_1,0.2400,0.226186
0,0,resid_post_2,0.2400,0.220387
0,0,resid_post_3,0.2400,0.203356
0,0,resid_post_4,0.2400,0.174546
0,0,resid_post_5,0.2400,0.145349
0,0,resid_post_6,0.2400,0.131986
0,0,resid_post_7,0.2400,0.121911
0,0,resid_post_8,0.2400,0.119241
0,0,resid_post_9,0.2400,0.112662
0,0,resid_post_10,0.2400,0.106296
0,0,resid_post_11,0.2400,0.097218
0,0,logits,0.2500,0.064219
0,0,resid_post_1,0.2500,0.236088
0,0,resid_post_2,0.2500,0.230203
0,0,resid_post_3,0.2500,0.211903
0,0,resid_post_4,0.2500,0.182440
0,0,resid_post_5,0.2500,0.152324
0,0,resid_post_6,0.2500,0.138580
0,0,resid_post_7,0.2500,0.128255
0,0,resid_post_8,0.2500,0.125527
0,0,resid_post_9,0.2500,0.118666
0,0,resid_post_10,0.2500,0.112050
0,0,resid_post_11,0.2500,0.102704
0,0,logits,0.2600,0.068440
0,0,resid_post_1,0.2600,0.246057
0,0,resid_post_2,0.2600,0.240060
0,0,resid_post_3,0.2600,0.220468
0,0,resid_post_4,0.2600,0.190465
0,0,resid_post_5,0.2600,0.159478
0,0,resid_post_6,0.2600,0.145391
0,0,resid_post_7,0.2600,0.134838
0,0,resid_post_8,0.2600,0.132058
0,0,resid_post_9,0.2600,0.124907
0,0,resid_post_10,0.2600,0.118051
0,0,resid_post_11,0.2600,0.108441
0,0,logits,0.2700,0.072960
0,0,resid_post_1,0.2700,0.256099
0,0,resid_post_2,0.2700,0.249962
0,0,resid_post_3,0.2700,0.229065
0,0,resid_post_4,0.2700,0.198645
0,0,resid_post_5,0.2700,0.166839
0,0,resid_post_6,0.2700,0.152453
0,0,resid_post_7,0.2700,0.141695
0,0,resid_post_8,0.2700,0.138868
0,0,resid_post_9,0.2700,0.131417
0,0,resid_post_10,0.2700,0.124334
0,0,resid_post_11,0.2700,0.114462
0,0,logits,0.2800,0.077826
0,0,resid_post_1,0.2800,0.266218
0,0,resid_post_2,0.2800,0.259911
0,0,resid_post_3,0.2800,0.237710
0,0,resid_post_4,0.2800,0.207006
0,0,resid_post_5,0.2800,0.174436
0,0,resid_post_6,0.2800,0.159804
0,0,resid_post_7,0.2800,0.148865
0,0,resid_post_8,0.2800,0.145998
0,0,resid_post_9,0.2800,0.138236
0,0,resid_post_10,0.2800,0.130943
0,0,resid_post_11,0.2800,0.120809
0,0,logits,0.2900,0.083093
0,0,resid_post_1,0.2900,0.276419
0,0,resid_post_2,0.2900,0.269913
0,0,resid_post_3,0.2900,0.246422
0,0,resid_post_4,0.2900,0.215578
0,0,resid_post_5,0.2900,0.182303
0,0,resid_post_6,0.2900,0.167487
0,0,resid_post_7,0.2900,0.156393
0,0,resid_post_8,0.2900,0.153492
0,0,resid_post_9,0.2900,0.145407
0,0,resid_post_10,0.2900,0.137925
0,0,resid_post_11,0.2900,0.127528
0,0,logits,0.3000,0.088825
0,0,resid_post_1,0.3000,0.286709
0,0,resid_post_2,0.3000,0.279973
0,0,resid_post_3,0.3000,0.255226
0,0,resid_post_4,0.3000,0.224395
0,0,resid_post_5,0.3000,0.190479
0,0,resid_post_6,0.3000,0.175552
0,0,resid_post_7,0.3000,0.164331
0,0,resid_post_8,0.3000,0.161403
0,0,resid_post_9,0.3000,0.152983
0,0,resid_post_10,0.3000,0.145339
0,0,resid_post_11,0.3000,0.134676
0,0,logits,0.3100,0.095102
0,0,resid_post_1,0.3100,0.297091
0,0,resid_post_2,0.3100,0.290097
0,0,resid_post_3,0.3100,0.264148
0,0,resid_post_4,0.3100,0.233495
0,0,resid_post_5,0.3100,0.199007
0,0,resid_post_6,0.3100,0.184057
0,0,resid_post_7,0.3100,0.172738
0,0,resid_post_8,0.3100,0.169791
0,0,resid_post_9,0.3100,0.161022
0,0,resid_post_10,0.3100,0.153251
0,0,resid_post_11,0.3100,0.142317
0,0,logits,0.3200,0.102017
0,0,resid_post_1,0.3200,0.307571
0,0,resid_post_2,0.3200,0.300293
0,0,resid_post_3,0.3200,0.273223
0,0,resid_post_4,0.3200,0.242919
0,0,resid_post_5,0.3200,0.207938
0,0,resid_post_6,0.3200,0.193069
0,0,resid_post_7,0.3200,0.181684
0,0,resid_post_8,0.3200,0.178724
0,0,resid_post_9,0.3200,0.169595
0,0,resid_post_10,0.3200,0.161737
0,0,resid_post_11,0.3200,0.150528
0,0,logits,0.3300,0.109687
0,0,resid_post_1,0.3300,0.318152
0,0,resid_post_2,0.3300,0.310572
0,0,resid_post_3,0.3300,0.282488
0,0,resid_post_4,0.3300,0.252716
0,0,resid_post_5,0.3300,0.217327
0,0,resid_post_6,0.3300,0.202662
0,0,resid_post_7,0.3300,0.191246
0,0,resid_post_8,0.3300,0.188282
0,0,resid_post_9,0.3300,0.178781
0,0,resid_post_10,0.3300,0.170887
0,0,resid_post_11,0.3300,0.159400
0,0,logits,0.3400,0.118251
0,0,resid_post_1,0.3400,0.328837
0,0,resid_post_2,0.3400,0.320942
0,0,resid_post_3,0.3400,0.291987
0,0,resid_post_4,0.3400,0.262938
0,0,resid_post_5,0.3400,0.227239
0,0,resid_post_6,0.3400,0.212926
0,0,resid_post_7,0.3400,0.201514
0,0,resid_post_8,0.3400,0.198554
0,0,resid_post_9,0.3400,0.188672
0,0,resid_post_10,0.3400,0.180805
0,0,resid_post_11,0.3400,0.169039
0,0,logits,0.3500,0.127882
0,0,resid_post_1,0.3500,0.339628
0,0,resid_post_2,0.3500,0.331417
0,0,resid_post_3,0.3500,0.301771
0,0,resid_post_4,0.3500,0.273639
0,0,resid_post_5,0.3500,0.237745
0,0,resid_post_6,0.3500,0.223957
0,0,resid_post_7,0.3500,0.212589
0,0,resid_post_8,0.3500,0.209642
0,0,resid_post_9,0.3500,0.199374
0,0,resid_post_10,0.3500,0.191609
0,0,resid_post_11,0.3500,0.179568
0,0,logits,0.3600,0.138796
0,0,resid_post_1,0.3600,0.350527
0,0,resid_post_2,0.3600,0.342008
0,0,resid_post_3,0.3600,0.311893
0,0,resid_post_4,0.3600,0.284879
0,0,resid_post_5,0.3600,0.248928
0,0,resid_post_6,0.3600,0.235869
0,0,resid_post_7,0.3600,0.224586
0,0,resid_post_8,0.3600,0.221659
0,0,resid_post_9,0.3600,0.211009
0,0,resid_post_10,0.3600,0.203433
0,0,resid_post_11,0.3600,0.191136
0,0,logits,0.3700,0.151259
0,0,resid_post_1,0.3700,0.361534
0,0,resid_post_2,0.3700,0.352730
0,0,resid_post_3,0.3700,0.322414
0,0,resid_post_4,0.3700,0.296719
0,0,resid_post_5,0.3700,0.260878
0,0,resid_post_6,0.3700,0.248783
0,0,resid_post_7,0.3700,0.237627
0,0,resid_post_8,0.3700,0.234729
0,0,resid_post_9,0.3700,0.223709
0,0,resid_post_10,0.3700,0.216427
0,0,resid_post_11,0.3700,0.203913
0,0,logits,0.3800,0.165602
0,0,resid_post_1,0.3800,0.372647
0,0,resid_post_2,0.3800,0.363598
0,0,resid_post_3,0.3800,0.333401
0,0,resid_post_4,0.3800,0.309221
0,0,resid_post_5,0.3800,0.273696
0,0,resid_post_6,0.3800,0.262833
0,0,resid_post_7,0.3800,0.251845
0,0,resid_post_8,0.3800,0.248984
0,0,resid_post_9,0.3800,0.237623
0,0,resid_post_10,0.3800,0.230753
0,0,resid_post_11,0.3800,0.218098
0,0,logits,0.3900,0.182239
0,0,resid_post_1,0.3900,0.383865
0,0,resid_post_2,0.3900,0.374624
0,0,resid_post_3,0.3900,0.344921
0,0,resid_post_4,0.3900,0.322441
0,0,resid_post_5,0.3900,0.287490
0,0,resid_post_6,0.3900,0.278151
0,0,resid_post_7,0.3900,0.267371
0,0,resid_post_8,0.3900,0.264556
0,0,resid_post_9,0.3900,0.252903
0,0,resid_post_10,0.3900,0.246580
0,0,resid_post_11,0.3900,0.233916
0,0,logits,0.4000,0.201677
0,0,resid_post_1,0.4000,0.395182
0,0,resid_post_2,0.4000,0.385823
0,0,resid_post_3,0.4000,0.357044
0,0,resid_post_4,0.4000,0.336433
0,0,resid_post_5,0.4000,0.302376
0,0,resid_post_6,0.4000,0.294867
0,0,resid_post_7,0.4000,0.284324
0,0,resid_post_8,0.4000,0.281564
0,0,resid_post_9,0.4000,0.269696
0,0,resid_post_10,0.4000,0.264066
0,0,resid_post_11,0.4000,0.251620
0,0,logits,0.4100,0.224525
0,0,resid_post_1,0.4100,0.406596
0,0,resid_post_2,0.4100,0.397206
0,0,resid_post_3,0.4100,0.369837
0,0,resid_post_4,0.4100,0.351241
0,0,resid_post_5,0.4100,0.318469
0,0,resid_post_6,0.4100,0.313080
0,0,resid_post_7,0.4100,0.302788
0,0,resid_post_8,0.4100,0.300092
0,0,resid_post_9,0.4100,0.288126
0,0,resid_post_10,0.4100,0.283335
0,0,resid_post_11,0.4100,0.271473
0,0,logits,0.4200,0.251467
0,0,resid_post_1,0.4200,0.418099
0,0,resid_post_2,0.4200,0.408783
0,0,resid_post_3,0.4200,0.383360
0,0,resid_post_4,0.4200,0.366898
0,0,resid_post_5,0.4200,0.335877
0,0,resid_post_6,0.4200,0.332842
0,0,resid_post_7,0.4200,0.322788
0,0,resid_post_8,0.4200,0.320162
0,0,resid_post_9,0.4200,0.308260
0,0,resid_post_10,0.4200,0.304431
0,0,resid_post_11,0.4200,0.293708
0,0,logits,0.4300,0.283137
0,0,resid_post_1,0.4300,0.429683
0,0,resid_post_2,0.4300,0.420558
0,0,resid_post_3,0.4300,0.397661
0,0,resid_post_4,0.4300,0.383426
0,0,resid_post_5,0.4300,0.354683
0,0,resid_post_6,0.4300,0.354124
0,0,resid_post_7,0.4300,0.344263
0,0,resid_post_8,0.4300,0.341698
0,0,resid_post_9,0.4300,0.330065
0,0,resid_post_10,0.4300,0.327256
0,0,resid_post_11,0.4300,0.318435
0,0,logits,0.4400,0.319733
0,0,resid_post_1,0.4400,0.441341
0,0,resid_post_2,0.4400,0.432533
0,0,resid_post_3,0.4400,0.412769
0,0,resid_post_4,0.4400,0.400834
0,0,resid_post_5,0.4400,0.374925
0,0,resid_post_6,0.4400,0.376786
0,0,resid_post_7,0.4400,0.367053
0,0,resid_post_8,0.4400,0.364496
0,0,resid_post_9,0.4400,0.353357
0,0,resid_post_10,0.4400,0.351477
0,0,resid_post_11,0.4400,0.345434
0,0,logits,0.4500,0.360256
0,0,resid_post_1,0.4500,0.453062
0,0,resid_post_2,0.4500,0.444703
0,0,resid_post_3,0.4500,0.428687
0,0,resid_post_4,0.4500,0.419118
0,0,resid_post_5,0.4500,0.396567
0,0,resid_post_6,0.4500,0.400577
0,0,resid_post_7,0.4500,0.390937
0,0,resid_post_8,0.4500,0.388226
0,0,resid_post_9,0.4500,0.377773
0,0,resid_post_10,0.4500,0.376466
0,0,resid_post_11,0.4500,0.373865
0,0,logits,0.4600,0.402094
0,0,resid_post_1,0.4600,0.464837
0,0,resid_post_2,0.4600,0.457060
0,0,resid_post_3,0.4600,0.445383
0,0,resid_post_4,0.4600,0.438252
0,0,resid_post_5,0.4600,0.419470
0,0,resid_post_6,0.4600,0.425178
0,0,resid_post_7,0.4600,0.415731
0,0,resid_post_8,0.4600,0.412542
0,0,resid_post_9,0.4600,0.402850
0,0,resid_post_10,0.4600,0.401426
0,0,resid_post_11,0.4600,0.402277
0,0,logits,0.4700,0.443068
0,0,resid_post_1,0.4700,0.476653
0,0,resid_post_2,0.4700,0.469587
0,0,resid_post_3,0.4700,0.462787
0,0,resid_post_4,0.4700,0.458181
0,0,resid_post_5,0.4700,0.443375
0,0,resid_post_6,0.4700,0.450337
0,0,resid_post_7,0.4700,0.441436
0,0,resid_post_8,0.4700,0.437386
0,0,resid_post_9,0.4700,0.428395
0,0,resid_post_10,0.4700,0.426005
0,0,resid_post_11,0.4700,0.429604
0,0,logits,0.4800,0.486716
0,0,resid_post_1,0.4800,0.488497
0,0,resid_post_2,0.4800,0.482263
0,0,resid_post_3,0.4800,0.480792
0,0,resid_post_4,0.4800,0.478803
0,0,resid_post_5,0.4800,0.467929
0,0,resid_post_6,0.4800,0.475987
0,0,resid_post_7,0.4800,0.468320
0,0,resid_post_8,0.4800,0.463391
0,0,resid_post_9,0.4800,0.455138
0,0,resid_post_10,0.4800,0.451370
0,0,resid_post_11,0.4800,0.457044
0,0,logits,0.4900,0.546355
0,0,resid_post_1,0.4900,0.500359
0,0,resid_post_2,0.4900,0.495062
0,0,resid_post_3,0.4900,0.499249
0,0,resid_post_4,0.4900,0.499955
0,0,resid_post_5,0.4900,0.492725
0,0,resid_post_6,0.4900,0.502214
0,0,resid_post_7,0.4900,0.496776
0,0,resid_post_8,0.4900,0.491857
0,0,resid_post_9,0.4900,0.484961
0,0,resid_post_10,0.4900,0.480639
0,0,resid_post_11,0.4900,0.489343
0,0,logits,0.5000,0.633776
0,0,resid_post_1,0.5000,0.512224
0,0,resid_post_2,0.5000,0.507951
0,0,resid_post_3,0.5000,0.517983
0,0,resid_post_4,0.5000,0.521415
0,0,resid_post_5,0.5000,0.517374
0,0,resid_post_6,0.5000,0.528984
0,0,resid_post_7,0.5000,0.526914
0,0,resid_post_8,0.5000,0.523653
0,0,resid_post_9,0.5000,0.519388
0,0,resid_post_10,0.5000,0.516753
0,0,resid_post_11,0.5000,0.532852
0,0,logits,0.5100,0.729142
0,0,resid_post_1,0.5100,0.524078
0,0,resid_post_2,0.5100,0.520897
0,0,resid_post_3,0.5100,0.536798
0,0,resid_post_4,0.5100,0.542915
0,0,resid_post_5,0.5100,0.541552
0,0,resid_post_6,0.5100,0.555914
0,0,resid_post_7,0.5100,0.558060
0,0,resid_post_8,0.5100,0.557573
0,0,resid_post_9,0.5100,0.556924
0,0,resid_post_10,0.5100,0.558555
0,0,resid_post_11,0.5100,0.586565
0,0,logits,0.5200,0.800970
0,0,resid_post_1,0.5200,0.535909
0,0,resid_post_2,0.5200,0.533864
0,0,resid_post_3,0.5200,0.555494
0,0,resid_post_4,0.5200,0.564175
0,0,resid_post_5,0.5200,0.565022
0,0,resid_post_6,0.5200,0.582325
0,0,resid_post_7,0.5200,0.588738
0,0,resid_post_8,0.5200,0.590756
0,0,resid_post_9,0.5200,0.593753
0,0,resid_post_10,0.5200,0.600711
0,0,resid_post_11,0.5200,0.638668
0,0,logits,0.5300,0.846563
0,0,resid_post_1,0.5300,0.547703
0,0,resid_post_2,0.5300,0.546815
0,0,resid_post_3,0.5300,0.573882
0,0,resid_post_4,0.5300,0.584936
0,0,resid_post_5,0.5300,0.587616
0,0,resid_post_6,0.5300,0.607521
0,0,resid_post_7,0.5300,0.617453
0,0,resid_post_8,0.5300,0.621096
0,0,resid_post_9,0.5300,0.627178
0,0,resid_post_10,0.5300,0.638659
0,0,resid_post_11,0.5300,0.681468
0,0,logits,0.5400,0.874969
0,0,resid_post_1,0.5400,0.559446
0,0,resid_post_2,0.5400,0.559714
0,0,resid_post_3,0.5400,0.591795
0,0,resid_post_4,0.5400,0.604991
0,0,resid_post_5,0.5400,0.609222
0,0,resid_post_6,0.5400,0.631048
0,0,resid_post_7,0.5400,0.643467
0,0,resid_post_8,0.5400,0.648005
0,0,resid_post_9,0.5400,0.656439
0,0,resid_post_10,0.5400,0.670914
0,0,resid_post_11,0.5400,0.714823
0,0,logits,0.5500,0.893521
0,0,resid_post_1,0.5500,0.571125
0,0,resid_post_2,0.5500,0.572528
0,0,resid_post_3,0.5500,0.609099
0,0,resid_post_4,0.5500,0.624197
0,0,resid_post_5,0.5500,0.629773
0,0,resid_post_6,0.5500,0.652747
0,0,resid_post_7,0.5500,0.666770
0,0,resid_post_8,0.5500,0.671758
0,0,resid_post_9,0.5500,0.681857
0,0,resid_post_10,0.5500,0.697979
0,0,resid_post_11,0.5500,0.741098
0,0,logits,0.5600,0.906549
0,0,resid_post_1,0.5600,0.582728
