context,direction,block,basepoint,rho,d_hidden,jsd,flip
1,7,0,natural,3.0,1.3288052082061768,0.5305993556976318,1.0
1,7,0,natural,3.5999999999999996,1.387079119682312,0.523731529712677,1.0
1,7,0,natural,4.2,1.4191513061523438,0.5258278250694275,1.0
1,7,0,natural,4.8,1.4382880926132202,0.5319558382034302,1.0
1,7,0,natural,5.3999999999999995,1.4505897760391235,0.5372564792633057,1.0
1,7,0,natural,6.0,1.4591119289398193,0.5411213636398315,1.0
2,0,0,natural,0.0,0.0,0.0,0.0
2,0,0,natural,0.6,0.18271306157112122,1.142734254244715e-05,0.0
2,0,0,natural,1.2,0.3787052631378174,5.830828013131395e-05,0.0
2,0,0,natural,1.7999999999999998,0.6218385696411133,0.001073680236004293,0.0
2,0,0,natural,2.4,0.8750827312469482,0.00840472336858511,0.0
2,0,0,natural,3.0,1.1219875812530518,0.05467378720641136,0.0
2,0,0,natural,3.5999999999999996,1.2949804067611694,0.24818778038024902,0.0
2,0,0,natural,4.2,1.3899304866790771,0.4684640169143677,0.0
2,0,0,natural,4.8,1.4432168006896973,0.5713287591934204,1.0
2,0,0,natural,5.3999999999999995,1.4763892889022827,0.6148284077644348,1.0
2,0,0,natural,6.0,1.499001145362854,0.635928213596344,1.0
2,1,0,natural,0.0,0.0,0.0,0.0
2,1,0,natural,0.6,0.1808125525712967,9.189119737129658e-05,0.0
2,1,0,natural,1.2,0.40155029296875,0.001067240722477436,0.0
2,1,0,natural,1.7999999999999998,0.6448789238929749,0.009929288178682327,0.0
2,1,0,natural,2.4,0.9222922921180725,0.23940180242061615,0.0
2,1,0,natural,3.0,1.2164781093597412,0.6733851432800293,1.0
2,1,0,natural,3.5999999999999996,1.3671269416809082,0.6871398091316223,1.0
2,1,0,natural,4.2,1.427708625793457,0.6873339414596558,1.0
2,1,0,natural,4.8,1.4612756967544556,0.6861313581466675,1.0
2,1,0,natural,5.3999999999999995,1.4834418296813965,0.6848816871643066,1.0
2,1,0,natural,6.0,1.4988882541656494,0.6839608550071716,1.0
2,2,0,natural,0.0,0.0,0.0,0.0
2,2,0,natural,0.6,0.16675953567028046,0.00010669350740499794,0.0
2,2,0,natural,1.2,0.39157336950302124,0.001834771130234003,0.0
2,2,0,natural,1.7999999999999998,0.6601579785346985,0.029501356184482574,0.0
2,2,0,natural,2.4,0.934733510017395,0.21582144498825073,0.0
2,2,0,natural,3.0,1.1691004037857056,0.5096099972724915,1.0
2,2,0,natural,3.5999999999999996,1.3079901933670044,0.6328255534172058,1.0
2,2,0,natural,4.2,1.379003882408142,0.66187584400177,1.0
2,2,0,natural,4.8,1.4179779291152954,0.6700139045715332,1.0
2,2,0,natural,5.3999999999999995,1.4419196844100952,0.6733601093292236,1.0
2,2,0,natural,6.0,1.4580491781234741,0.6752583384513855,1.0
2,3,0,natural,0.0,0.0,0.0,0.0
2,3,0,natural,0.6,0.17993265390396118,0.00010223124991171062,0.0
2,3,0,natural,1.2,0.43518295884132385,0.0015073285903781652,0.0
2,3,0,natural,1.7999999999999998,0.7842458486557007,0.043630972504615784,0.0
2,3,0,natural,2.4,1.0621198415756226,0.29816922545433044,0.0
2,3,0,natural,3.0,1.2245280742645264,0.5010824203491211,1.0
2,3,0,natural,3.5999999999999996,1.3299916982650757,0.586959958076477,1.0
2,3,0,natural,4.2,1.3940805196762085,0.6135482788085938,1.0
2,3,0,natural,4.8,1.4322739839553833,0.624301552772522,1.0
2,3,0,natural,5.3999999999999995,1.4572032690048218,0.63135826587677,1.0
2,3,0,natural,6.0,1.4748655557632446,0.6371136903762817,1.0
2,4,0,natural,0.0,0.0,0.0,0.0
2,4,0,natural,0.6,0.2435876727104187,7.105694385245442e-05,0.0
2,4,0,natural,1.2,0.6054023504257202,0.00475727766752243,0.0
2,4,0,natural,1.7999999999999998,0.8981022834777832,0.029763871803879738,0.0
2,4,0,natural,2.4,1.1373775005340576,0.18520858883857727,0.0
2,4,0,natural,3.0,1.3318347930908203,0.5717391967773438,1.0
2,4,0,natural,3.5999999999999996,1.4530513286590576,0.6616801619529724,1.0
2,4,0,natural,4.2,1.518328309059143,0.6768040060997009,1.0
2,4,0,natural,4.8,1.5564302206039429,0.6814040541648865,1.0
2,4,0,natural,5.3999999999999995,1.580433964729309,0.6833394765853882,1.0
2,4,0,natural,6.0,1.5963494777679443,0.6842845678329468,1.0
2,5,0,natural,0.0,0.0,0.0,0.0
2,5,0,natural,0.6,0.18817667663097382,6.020700675435364e-05,0.0
2,5,0,natural,1.2,0.40298032760620117,0.00016586275887675583,0.0
2,5,0,natural,1.7999999999999998,0.6335812211036682,0.0013380830641835928,0.0
2,5,0,natural,2.4,0.8774479031562805,0.010798826813697815,0.0
2,5,0,natural,3.0,1.0884507894515991,0.10364197939634323,0.0
2,5,0,natural,3.5999999999999996,1.2313785552978516,0.42313826084136963,0.0
2,5,0,natural,4.2,1.314801812171936,0.5937247276306152,1.0
2,5,0,natural,4.8,1.3639038801193237,0.642061710357666,1.0
2,5,0,natural,5.3999999999999995,1.3952255249023438,0.6593771576881409,1.0
2,5,0,natural,6.0,1.4169574975967407,0.6675094366073608,1.0
2,6,0,natural,0.0,0.0,0.0,0.0
2,6,0,natural,0.6,0.21050143241882324,6.410606147255749e-05,0.0
2,6,0,natural,1.2,0.48556822538375854,0.0020787238609045744,0.0
