token_id,token,D,W_mid,W_final,t10_mid,t90_mid,t10_final,t90_final,flag_nonmonotonic
1736,' Pr',2.3054,0.1689,0.0750,0.3680,0.5369,0.4178,0.4927,0
1737,' May',2.0573,0.1616,0.0832,0.3747,0.5363,0.4259,0.5091,0
1738,' reason',2.0940,0.1441,0.0833,0.3903,0.5345,0.4452,0.5285,0
1739,'ued',2.7671,0.1494,0.1292,0.3228,0.4723,0.3792,0.5084,1
1740,'ched',2.6396,0.1617,0.0800,0.3254,0.4870,0.3889,0.4690,0
1741,'ulation',2.6154,0.1792,0.1206,0.3074,0.4866,0.3640,0.4847,0
1742,' elect',2.5707,0.1643,0.0877,0.3399,0.5041,0.3994,0.4870,0
1743,' official',2.0326,0.1483,0.0822,0.4199,0.5683,0.4723,0.5546,0
1744,' possible',2.0715,0.1564,0.0856,0.3831,0.5395,0.4539,0.5395,0
1745,' hold',2.0953,0.1541,0.0694,0.3708,0.5249,0.4389,0.5084,0
1746,'ands',2.6123,0.1351,0.0865,0.3323,0.4674,0.3786,0.4651,0
1747,'ots',2.5592,0.1374,0.0907,0.3633,0.5007,0.4144,0.5051,0
1748,' city',1.9560,0.1661,0.0807,0.3580,0.5241,0.4343,0.5149,0
1749,'ories',2.8644,0.1369,0.0939,0.3025,0.4394,0.3583,0.4522,1
1750,' sever',2.4947,0.3433,0.1539,0.3469,0.6903,0.3858,0.5397,0
1751,' children',2.0543,0.1631,0.1096,0.3203,0.4834,0.3672,0.4767,0
1752,' once',2.0162,0.1689,0.0894,0.3774,0.5463,0.4416,0.5311,0
1753,' activ',2.5266,0.1540,0.0980,0.3939,0.5480,0.4288,0.5268,0
1754,'ler',2.5006,0.1634,0.0968,0.3360,0.4994,0.4002,0.4969,0
1755,' night',2.0588,0.1553,0.0857,0.3642,0.5195,0.4313,0.5170,0
1756,'itions',2.7230,0.1531,0.1187,0.2898,0.4429,0.3469,0.4656,1
1757,' John',1.9888,0.1481,0.0484,0.3964,0.5445,0.4814,0.5298,1
1758,'ape',2.7011,0.1412,0.0809,0.3711,0.5123,0.4201,0.5010,0
1759,'play',2.5326,0.1156,0.0547,0.3638,0.4794,0.4142,0.4689,0
1760,' done',2.0307,0.1669,0.0894,0.3791,0.5460,0.4532,0.5427,0
1761,' lim',2.4162,0.2508,0.0883,0.3809,0.6317,0.4283,0.5166,0
1762,' working',2.0054,0.1777,0.0787,0.3705,0.5482,0.4609,0.5396,0
1763,' Pres',2.4161,0.2446,0.0713,0.3540,0.5986,0.4077,0.4790,0
1764,'orld',2.8529,0.2065,0.1535,0.3174,0.5238,0.3610,0.5145,0
1765,'eb',2.5129,0.1389,0.0630,0.4271,0.5660,0.4634,0.5265,0
1766,' Co',2.1827,0.1290,0.0466,0.3889,0.5179,0.4509,0.4975,0
1767,' body',2.0897,0.1471,0.0630,0.3713,0.5184,0.4329,0.4959,0
1768,'ails',2.6889,0.1742,0.1204,0.3163,0.4905,0.3654,0.4858,0
1769,'utes',2.7020,0.1479,0.1120,0.2899,0.4378,0.3419,0.4539,0
1770,' Mr',2.0742,0.2144,0.1145,0.3816,0.5961,0.4795,0.5940,0
1771,' whether',1.9442,0.2040,0.0871,0.3994,0.6035,0.4606,0.5478,0
1772,' author',2.2622,0.1298,0.0710,0.3611,0.4909,0.4136,0.4847,0
1773,'rop',2.7245,0.1593,0.0856,0.3691,0.5283,0.4149,0.5005,0
1774,' proper',2.1512,0.2195,0.1415,0.3822,0.6018,0.4262,0.5676,0
1775,' seen',1.9996,0.1616,0.0735,0.3638,0.5254,0.4444,0.5179,0
1776,');',2.0511,0.1369,0.0879,0.3829,0.5198,0.4546,0.5425,0
1777,' fac',2.4538,0.2296,0.0639,0.4015,0.6311,0.4507,0.5145,0
1778,' Su',2.3598,0.1477,0.0510,0.3843,0.5320,0.4338,0.4848,0
1779,' cond',2.4851,0.2143,0.0832,0.3637,0.5780,0.4150,0.4983,0
1780,'iting',2.4704,0.1627,0.1190,0.3389,0.5016,0.4062,0.5251,0
1781,' course',2.2679,0.1975,0.0660,0.3574,0.5549,0.4204,0.4864,0
1782,' }',2.0669,0.1309,0.0769,0.4097,0.5406,0.4514,0.5283,0
1783,'----------------',2.4619,0.1546,0.1116,0.3995,0.5542,0.4172,0.5287,0
1784,'aign',3.0282,0.1500,0.1813,0.2952,0.4451,0.3555,0.5367,0
1785,' event',2.0794,0.1182,0.0590,0.3762,0.4944,0.4287,0.4877,0
1786,' eng',2.4380,0.2191,0.0799,0.3532,0.5724,0.3991,0.4790,0
1787,' pot',2.1990,0.1336,0.0555,0.4340,0.5676,0.4765,0.5320,0
1788,' intern',2.5279,0.1498,0.0833,0.3887,0.5385,0.4249,0.5082,0
1789,'iam',2.7735,0.1425,0.0964,0.3163,0.4589,0.3484,0.4448,0
1790,' short',2.0232,0.2993,0.2529,0.2919,0.5912,0.3103,0.5632,0
1791,'empt',2.6857,0.1732,0.1642,0.3481,0.5213,0.3995,0.5637,0
1792,'�',2.4035,0.2006,0.1316,0.3891,0.5898,0.4083,0.5399,0
1793,' God',2.0649,0.2023,0.0870,0.3678,0.5701,0.4418,0.5288,0
1794,'ilar',2.8418,0.2032,0.2030,0.3179,0.5211,0.3154,0.5183,0
1795,'80',2.2776,0.2163,0.0729,0.3292,0.5456,0.4026,0.4755,0
1796,' orig',2.5918,0.2046,0.0793,0.3966,0.6012,0.4153,0.4946,0
1797,'IS',2.4229,0.1098,0.0618,0.3800,0.4897,0.4268,0.4887,1
1798,'ourn',2.7185,0.1815,0.1116,0.3444,0.5259,0.3772,0.4888,0
1799,'ability',2.6496,0.1681,0.1110,0.3286,0.4967,0.3877,0.4988,0
1800,'itive',2.7505,0.1577,0.0681,0.3520,0.5096,0.4450,0.5131,0
1801,' dam',2.4104,0.1756,0.0629,0.3879,0.5635,0.4386,0.5015,0
1802,' 100',1.9222,0.2016,0.1039,0.3779,0.5795,0.4590,0.5629,0
1803,' press',2.1811,0.1544,0.0622,0.4094,0.5638,0.4769,0.5392,0
1804,' doing',1.8955,0.1541,0.0608,0.3715,0.5256,0.4584,0.5192,0
1805,' protect',2.0868,0.1476,0.0869,0.3719,0.5196,0.4294,0.5164,0
1806,'ring',2.6613,0.1279,0.0759,0.3771,0.5050,0.4166,0.4925,0
1807,' thought',2.0360,0.1504,0.0685,0.3448,0.4952,0.4209,0.4893,0
1808,' question',2.0786,0.1270,0.0616,0.3730,0.5000,0.4372,0.4987,0
1809,'rew',2.7894,0.1471,0.0890,0.3396,0.4868,0.3996,0.4887,0
1810,' War',2.2268,0.1435,0.0630,0.3768,0.5203,0.4458,0.5088,0
1811,' several',1.8043,0.2395,0.1389,0.3419,0.5814,0.4092,0.5481,0
1812,' State',2.1309,0.1642,0.0504,0.3523,0.5165,0.4186,0.4689,0
1813,' given',2.0712,0.1694,0.0813,0.3578,0.5272,0.4437,0.5250,0
1814,' fund',2.1733,0.1492,0.0760,0.3451,0.4943,0.4104,0.4864,0
1815,' Tw',2.4063,0.1928,0.0585,0.3610,0.5538,0.4174,0.4759,0
1816,' went',1.8685,0.1355,0.0703,0.3734,0.5088,0.4264,0.4968,0
1817,'ances',2.7391,0.1595,0.1836,0.2992,0.4587,0.3644,0.5480,0
1818,'work',2.4608,0.1474,0.0764,0.3519,0.4994,0.4021,0.4785,1
1819,'por',2.7178,0.1679,0.1090,0.3910,0.5589,0.4162,0.5252,0
