condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
naive,170,0.04796,52.464,8,0.1341,-0.08615
naive,171,0.0833,67.371,63,0.11708,-0.03378
naive,172,0.06798,36.495,36,0.15731,-0.08933
naive,173,0.06406,65.6,13,0.11902,-0.05496
naive,174,0.03226,66.082,38,0.11848,-0.08623
naive,175,0.05454,61.198,26,0.12408,-0.06955
naive,176,0.06633,55.495,15,0.13051,-0.06419
naive,177,0.02262,89.99,15,0.09597,-0.07335
naive,178,0.03456,53.136,34,0.13329,-0.09873
naive,179,0.07844,40.698,44,0.15034,-0.0719
naive,180,0.07501,83.615,85,0.10133,-0.02631
naive,181,0.03483,70.036,59,0.11425,-0.07942
naive,182,0.10262,64.764,27,0.11995,-0.01733
naive,183,0.03334,52.179,18,0.13445,-0.10111
naive,184,0.04129,43.326,28,0.14634,-0.10505
naive,185,0.06735,69.172,63,0.11515,-0.0478
naive,186,0.06766,81.999,53,0.10275,-0.03509
naive,187,0.06206,55.666,35,0.13032,-0.06826
naive,188,0.03141,64.919,20,0.11978,-0.08837
naive,189,0.07283,76.494,95,0.10782,-0.03499
naive,190,0.04853,63.5,105,0.12139,-0.07286
naive,191,0.04748,63.372,11,0.12154,-0.07406
naive,192,0.12289,60.232,39,0.12524,-0.00235
naive,193,0.0765,63.84,84,0.121,-0.0445
naive,194,0.06009,73.514,53,0.11071,-0.05062
naive,195,0.05254,75.126,13,0.10913,-0.05659
naive,196,0.11309,54.188,32,0.13204,-0.01895
naive,197,0.08378,65.355,17,0.11929,-0.03551
naive,198,0.06866,56.907,12,0.12891,-0.06025
naive,199,0.12861,42.773,23,0.14716,-0.01855
cooc,100,0.15371,100.718,105,0.08776,0.06596
cooc,101,0.08744,60.447,8,0.12498,-0.03755
cooc,102,0.12411,66.536,91,0.11799,0.00612
cooc,103,0.05987,75.424,38,0.10884,-0.04898
cooc,104,0.02213,70.856,51,0.1134,-0.09127
cooc,105,0.06169,66.418,14,0.11811,-0.05643
cooc,106,0.06121,49.763,4,0.13748,-0.07628
cooc,107,0.03026,79.418,77,0.10508,-0.07482
cooc,108,0.04876,68.994,58,0.11534,-0.06658
cooc,109,0.06953,68.236,20,0.11615,-0.04661
cooc,110,0.12158,93.005,124,0.09357,0.02801
cooc,111,0.23789,52.848,36,0.13364,0.10426
cooc,112,0.03974,125.89,273,0.07499,-0.03525
cooc,113,0.12491,85.321,21,0.09985,0.02506
cooc,114,0.11964,91.042,108,0.09512,0.02452
cooc,115,0.07,56.199,28,0.12971,-0.05971
cooc,116,0.04198,57.81,31,0.1279,-0.08592
cooc,117,0.09378,54.154,27,0.13208,-0.0383
cooc,118,0.12577,45.675,27,0.14296,-0.01719
cooc,119,0.1577,75.215,41,0.10905,0.04866
cooc,120,0.07863,60.55,25,0.12486,-0.04622
cooc,121,0.04049,99.073,167,0.08896,-0.04847
cooc,122,0.09369,56.133,38,0.12978,-0.03609
cooc,123,0.06626,58.101,16,0.12758,-0.06132
cooc,124,0.1476,65.523,22,0.1191,0.0285
cooc,125,0.05811,62.523,7,0.12252,-0.06441
cooc,126,0.07559,62.56,36,0.12248,-0.04689
cooc,127,0.11164,97.824,78,0.08988,0.02176
cooc,128,0.07105,75.103,24,0.10915,-0.03811
cooc,129,0.0618,84.673,73,0.10041,-0.03861
cooc,130,0.06429,71.629,47,0.11261,-0.04832
cooc,131,0.11851,60.733,26,0.12464,-0.00613
cooc,132,0.06985,70.284,76,0.11399,-0.04414
cooc,133,0.22107,63.479,72,0.12141,0.09966
cooc,134,0.14433,54.244,27,0.13197,0.01236
cooc,135,0.03347,74.915,58,0.10934,-0.07587
cooc,136,0.11659,55.443,22,0.13057,-0.01398
cooc,137,0.05405,99.697,119,0.0885,-0.03445
cooc,138,0.07244,77.604,67,0.10677,-0.03432
cooc,139,0.12653,67.137,23,0.11733,0.0092
cooc,140,0.05704,57.347,16,0.12842,-0.07138
cooc,141,0.06705,77.233,123,0.10711,-0.04006
cooc,142,0.05748,55.165,27,0.1309,-0.07342
cooc,143,0.07206,56.759,34,0.12907,-0.05702
cooc,144,0.05683,69.917,12,0.11437,-0.05754
cooc,145,0.0503,84.363,80,0.10068,-0.05038
cooc,146,0.07029,69.589,21,0.11471,-0.04442
cooc,147,0.03835,66.934,22,0.11755,-0.0792
cooc,148,0.10334,74.122,83,0.11011,-0.00678
cooc,149,0.05936,53.523,27,0.13283,-0.07347
cooc,150,0.06583,43.852,12,0.14557,-0.07973
cooc,151,0.08516,64.957,16,0.11974,-0.03458
cooc,152,0.26407,68.472,12,0.11589,0.14818
cooc,153,0.06131,53.497,51,0.13286,-0.07155
cooc,154,0.05609,63.845,19,0.121,-0.06491
cooc,155,0.10377,39.49,19,0.15227,-0.04849
cooc,156,0.12243,76.265,80,0.10803,0.0144
cooc,157,0.02337,74.805,34,0.10944,-0.08608
cooc,158,0.05932,71.007,32,0.11324,-0.05393
cooc,159,0.08867,66.746,12,0.11775,-0.02909
cooc,160,0.07894,45.571,6,0.14311,-0.06417
cooc,161,0.05344,52.937,45,0.13353,-0.08009
cooc,162,0.06151,87.692,85,0.09785,-0.03634
cooc,163,0.09852,74.471,84,0.10977,-0.01125
cooc,164,0.06292,63.826,17,0.12102,-0.0581
cooc,165,0.07392,76.396,77,0.10791,-0.03399
cooc,166,0.14332,60.834,19,0.12452,0.0188
cooc,167,0.22705,71.239,27,0.11301,0.11405
cooc,168,0.07835,56.716,36,0.12912,-0.05078
cooc,169,0.11583,49.631,22,0.13765,-0.02182
cooc,170,0.06192,56.005,19,0.12993,-0.06801
cooc,171,0.0528,68.432,67,0.11594,-0.06314
cooc,172,0.05235,48.113,60,0.13964,-0.08729
