condition,src,split,plateau_auc_low,dist_to_source,norm,output_kl,log10_output_kl
naive,14,train,0.04067,71.381,54.551,16.281654,1.2117
naive,15,train,0.07157,63.493,56.057,1.119381,0.049
naive,16,train,0.08868,40.633,56.094,1.793489,0.2537
naive,17,train,0.06038,63.999,80.395,5.340072,0.7275
naive,18,train,0.04901,59.521,66.967,1.915184,0.2822
naive,19,train,0.07262,59.798,53.997,2.068356,0.3156
naive,20,train,0.06758,54.78,65.324,1.795033,0.2541
naive,21,train,0.05377,71.185,64.064,2.948254,0.4696
naive,22,train,0.04405,83.45,82.75,4.805239,0.6817
naive,23,train,0.06729,63.985,56.043,1.141037,0.0573
naive,24,train,0.06089,67.348,60.937,1.29895,0.1136
naive,25,train,0.03538,87.298,66.009,8.020259,0.9042
naive,26,train,0.05418,70.227,67.088,4.321372,0.6356
naive,27,train,0.12098,70.541,77.759,2.764558,0.4416
naive,28,train,0.068,45.887,57.008,1.137276,0.0559
naive,29,train,0.06867,71.702,58.275,2.319275,0.3654
naive,30,train,0.10163,41.282,54.708,1.650472,0.2176
naive,31,train,0.06873,70.206,55.169,8.496428,0.9292
naive,32,train,0.11965,48.175,67.922,7.783937,0.8912
naive,33,train,0.08434,67.622,67.335,3.718722,0.5704
naive,34,train,0.06456,58.628,55.04,3.099355,0.4913
naive,35,train,0.0859,34.822,54.608,2.631219,0.4202
naive,36,train,0.0433,66.305,59.064,3.27646,0.5154
naive,37,train,0.1483,77.26,78.558,0.894174,-0.0486
naive,38,train,0.04777,54.598,57.667,2.797995,0.4468
naive,39,train,0.05644,60.719,62.294,5.555116,0.7447
naive,40,train,0.03723,73.936,66.973,6.983784,0.8441
naive,41,train,0.03289,75.525,74.466,4.630014,0.6656
naive,42,train,0.07628,65.922,56.813,14.374213,1.1576
naive,43,train,0.05819,51.143,59.084,7.442077,0.8717
naive,44,train,0.08037,61.117,61.522,2.033374,0.3082
naive,45,train,0.06462,56.809,66.998,6.892285,0.8384
naive,46,train,0.12785,59.816,62.33,2.831294,0.452
naive,47,train,0.15186,91.597,81.297,16.83926,1.2263
naive,48,train,0.10316,60.179,55.232,0.302741,-0.5189
naive,49,train,0.10755,77.652,69.057,5.50786,0.741
naive,50,train,0.07995,55.465,53.842,2.093873,0.321
naive,51,train,0.04661,87.278,74.122,4.105574,0.6134
naive,52,train,0.06376,71.828,65.385,7.137806,0.8536
naive,53,train,0.1408,88.446,90.392,0.487694,-0.3119
naive,54,train,0.0788,65.144,76.543,2.370433,0.3748
naive,55,train,0.08502,87.07,68.582,10.350532,1.015
naive,56,train,0.077,48.477,56.312,2.962312,0.4716
naive,57,train,0.11714,50.711,67.623,5.873127,0.7689
naive,58,train,0.08085,57.656,54.858,0.688184,-0.1623
naive,59,train,0.05684,42.456,53.815,1.47797,0.1697
naive,60,train,0.07442,62.298,53.546,6.999523,0.8451
naive,61,train,0.08692,62.53,57.163,9.958254,0.9982
naive,62,train,0.05481,66.224,60.994,4.728588,0.6747
naive,63,train,0.06332,75.782,58.382,12.636668,1.1016
naive,64,train,0.09687,50.452,56.992,3.390247,0.5302
naive,65,train,0.0438,42.099,59.802,4.922818,0.6922
naive,66,train,0.04983,73.775,79.295,8.588734,0.9339
naive,67,train,0.06661,72.119,69.405,2.229158,0.3481
naive,68,train,0.05679,50.54,53.54,3.78829,0.5784
naive,69,train,0.17233,60.965,56.322,9.227884,0.9651
naive,70,train,0.0357,110.068,101.295,7.119036,0.8524
naive,71,train,0.06558,69.158,53.903,15.713803,1.1963
naive,72,train,0.03746,84.805,97.219,5.253944,0.7205
naive,73,train,0.91218,83.515,73.983,9.018784,0.9551
naive,74,train,0.03065,85.039,75.735,2.186454,0.3397
naive,75,train,0.12119,70.0,60.726,3.689958,0.567
naive,76,train,0.05741,62.51,60.727,8.301108,0.9191
naive,77,train,0.06575,48.556,59.787,2.438566,0.3871
naive,78,train,0.04082,63.593,63.375,2.707989,0.4326
naive,79,train,0.1075,68.69,71.387,0.418405,-0.3784
naive,80,train,0.05995,73.704,59.963,1.55218,0.1909
naive,81,train,0.04798,66.442,69.313,0.879009,-0.056
naive,82,train,0.05997,63.881,64.822,3.76875,0.5762
naive,83,train,0.10017,52.991,59.341,5.050776,0.7034
naive,84,train,0.07556,68.464,55.223,7.387467,0.8685
naive,85,train,0.07265,70.577,58.144,2.798903,0.447
naive,86,train,0.06316,57.843,55.543,2.177546,0.338
naive,87,train,0.04821,60.072,59.463,4.616417,0.6643
naive,88,train,0.0604,50.834,53.67,2.434485,0.3864
naive,89,train,0.04274,63.925,63.213,4.620297,0.6647
naive,90,train,0.09211,69.384,67.382,2.062963,0.3145
naive,91,train,0.07528,63.069,52.132,2.165622,0.3356
naive,92,train,0.0815,57.398,66.238,4.494192,0.6527
naive,93,train,0.04156,58.571,55.587,2.418793,0.3836
naive,94,train,0.07454,69.848,53.583,2.510496,0.3998
naive,95,train,0.05308,50.913,58.671,3.804849,0.5803
naive,96,train,0.06901,61.975,53.608,3.045859,0.4837
naive,97,train,0.0749,55.607,54.591,6.018874,0.7795
naive,98,train,0.03988,50.085,58.875,3.598325,0.5561
naive,99,train,0.06097,60.959,55.594,1.318096,0.1199
naive,100,test,0.0501,73.421,61.348,1.08903,0.037
naive,101,test,0.04212,59.511,56.529,4.401018,0.6436
naive,102,test,0.0738,50.201,53.41,3.44845,0.5376
naive,103,test,0.03392,73.337,64.534,10.634754,1.0267
naive,104,test,0.06388,60.846,55.291,2.321799,0.3658
naive,105,test,0.08837,75.372,68.069,6.042227,0.7812
naive,106,test,0.0511,71.69,67.476,7.595565,0.8806
naive,107,test,0.05118,55.557,53.738,4.95384,0.6949
naive,108,test,0.0614,67.904,70.42,5.741276,0.759
naive,109,test,0.10088,85.325,84.332,0.922271,-0.0351
naive,110,test,0.12575,69.336,62.111,1.772376,0.2486
naive,111,test,0.10228,53.007,55.608,1.082342,0.0344
naive,112,test,0.05767,73.4,77.196,5.693695,0.7554
naive,113,test,0.05515,58.617,56.337,2.177781,0.338
naive,114,test,0.04784,45.889,54.861,2.177428,0.3379
naive,115,test,0.07409,63.834,68.98,1.926278,0.2847
naive,116,test,0.1134,51.906,54.904,7.343003,0.8659
naive,117,test,0.12115,75.071,78.526,6.644073,0.8224
naive,118,test,0.05179,46.658,63.724,1.494994,0.1746
naive,119,test,0.12857,77.694,62.732,4.383089,0.6418
naive,120,test,0.07341,60.751,56.284,1.838477,0.2645
naive,121,test,0.1746,73.474,71.784,1.473974,0.1685
naive,122,test,0.03791,75.909,70.691,3.830419,0.5832
naive,123,test,0.06687,62.629,59.307,3.626211,0.5595
naive,124,test,0.03606,64.693,83.336,3.959304,0.5976
naive,125,test,0.06543,64.254,55.68,2.902246,0.4627
naive,126,test,0.04203,48.001,57.67,1.464589,0.1657
naive,127,test,0.0617,58.411,53.796,1.975303,0.2956
naive,128,test,0.10111,76.384,53.924,11.539315,1.0622
naive,129,test,0.06993,65.927,63.82,2.532037,0.4035
naive,130,test,0.09464,62.943,55.881,0.256371,-0.5911
naive,131,test,0.07998,70.047,70.007,0.592223,-0.2275
naive,132,test,0.15942,169.6,189.007,9.447989,0.9753
naive,133,test,0.06254,71.824,71.214,2.257233,0.3536
naive,134,test,0.06108,49.803,55.832,2.782012,0.4444
naive,135,test,0.06613,55.474,54.073,7.785855,0.8913
naive,136,test,0.066,56.76,58.802,1.362628,0.1344
naive,137,test,0.08871,65.143,59.263,3.794225,0.5791
naive,138,test,0.07909,82.724,70.69,1.324655,0.1221
naive,139,test,0.17141,75.444,73.971,4.307508,0.6342
naive,140,test,0.06334,55.153,54.572,2.725445,0.4354
naive,141,test,0.09081,49.466,55.96,2.344349,0.37
naive,142,test,0.09373,69.721,80.577,5.043636,0.7027
naive,143,test,0.11106,56.193,60.229,2.256433,0.3534
naive,144,test,0.05025,71.669,72.61,1.17899,0.0715
naive,145,test,0.04876,77.113,75.744,4.404881,0.6439
naive,146,test,0.04378,67.993,54.102,1.595145,0.2028
naive,147,test,0.04017,81.684,86.452,5.066689,0.7047
naive,148,test,0.1082,68.155,67.717,7.633713,0.8827
naive,149,test,0.05041,54.495,56.671,6.754133,0.8296
naive,150,test,0.0558,49.914,65.237,3.308377,0.5196
naive,151,test,0.05873,83.125,82.559,4.298381,0.6333
naive,152,test,0.05142,68.619,67.39,3.383801,0.5294
naive,153,test,0.06988,48.768,54.389,4.961018,0.6956
naive,154,test,0.05924,63.765,55.776,1.902389,0.2793
naive,155,test,0.14173,42.046,60.335,4.90453,0.6906
naive,156,test,0.13564,76.858,62.561,6.688605,0.8253
naive,157,test,0.06887,66.288,55.082,4.732882,0.6751
naive,158,test,0.07676,41.808,55.672,4.288051,0.6323
naive,159,test,0.06928,65.645,53.652,1.218383,0.0858
naive,160,test,0.07202,63.274,72.155,1.12578,0.0515
naive,161,test,0.13153,51.618,60.934,1.233688,0.0912
naive,162,test,0.05886,56.64,55.81,3.709022,0.5693
naive,163,test,0.06106,65.245,54.65,2.663699,0.4255
naive,164,test,0.06552,64.695,56.07,1.81985,0.26
naive,165,test,0.08479,56.357,59.936,4.389648,0.6424
naive,166,test,0.04485,70.228,69.15,3.288956,0.5171
naive,167,test,0.05702,59.994,53.893,1.091897,0.0382
naive,168,test,0.08393,58.656,63.773,6.285588,0.7983
naive,169,test,0.05013,52.862,57.7,3.89756,0.5908
naive,170,test,0.06559,52.464,53.512,1.778466,0.25
naive,171,test,0.08165,67.371,64.017,5.882455,0.7696
naive,172,test,0.06442,36.495,56.116,5.814105,0.7645
naive,173,test,0.09654,65.6,54.188,3.769633,0.5763
naive,174,test,0.03835,66.082,83.1,2.510811,0.3998
naive,175,test,0.04726,61.198,61.481,2.902283,0.4627
naive,176,test,0.07673,55.495,53.437,5.565882,0.7455
naive,177,test,0.02852,89.99,70.121,18.362436,1.2639
naive,178,test,0.04222,53.136,61.728,4.79721,0.681
naive,179,test,0.06187,40.698,55.712,2.22865,0.348
naive,180,test,0.0756,83.615,89.449,2.4384,0.3871
naive,181,test,0.03559,70.036,72.212,8.157858,0.9116
naive,182,test,0.10091,64.764,58.114,1.071226,0.0299
naive,183,test,0.05291,52.179,58.463,1.932309,0.2861
naive,184,test,0.03443,43.326,57.887,4.83208,0.6841
naive,185,test,0.06322,69.172,70.936,7.513814,0.8759
naive,186,test,0.05847,81.999,74.007,6.159894,0.7896
naive,187,test,0.09046,55.666,54.698,3.46055,0.5391
naive,188,test,0.03381,64.919,56.846,2.234453,0.3492
naive,189,test,0.06989,76.494,79.952,10.582598,1.0246
naive,190,test,0.05106,63.5,72.244,4.598763,0.6626
naive,191,test,0.0515,63.372,52.728,2.157838,0.334
naive,192,test,0.12454,60.232,59.735,0.641798,-0.1926
naive,193,test,0.07215,63.84,55.891,1.38807,0.1424
naive,194,test,0.05413,73.514,60.01,4.31096,0.6346
naive,195,test,0.05675,75.126,56.762,12.245236,1.088
naive,196,test,0.0968,54.188,60.783,1.72577,0.237
naive,197,test,0.06535,65.355,56.635,4.532144,0.6563
naive,198,test,0.06805,56.907,52.048,3.487246,0.5425
naive,199,test,0.09703,42.773,66.949,0.24239,-0.6155
sparse_match,0,train,0.03273,62.954,62.184,3.681809,0.5661
sparse_match,1,train,0.07724,53.682,61.573,7.550529,0.878
sparse_match,2,train,0.0479,79.258,63.296,1.867738,0.2713
sparse_match,3,train,0.04933,61.183,65.346,5.8445,0.7667
sparse_match,4,train,0.06248,78.133,63.446,3.453662,0.5383
sparse_match,5,train,0.05154,70.253,66.091,3.539164,0.5489
sparse_match,6,train,0.04273,48.854,53.674,3.117353,0.4938
sparse_match,7,train,0.0769,72.43,64.087,3.151106,0.4985
sparse_match,8,train,0.11439,50.392,65.159,4.74269,0.676
sparse_match,9,train,0.03839,69.029,60.48,2.677874,0.4278
sparse_match,10,train,0.06327,73.462,88.061,2.541292,0.4051
sparse_match,11,train,0.13708,71.65,58.809,1.263758,0.1017
sparse_match,12,train,0.06727,68.696,83.416,5.566019,0.7455
sparse_match,13,train,0.04068,65.139,66.111,2.43913,0.3872
sparse_match,14,train,0.04061,73.663,58.05,16.973238,1.2298
sparse_match,15,train,0.0573,70.599,60.84,6.069994,0.7832
sparse_match,16,train,0.05257,38.589,57.555,1.889486,0.2763
sparse_match,17,train,0.09678,53.65,58.271,3.546287,0.5498
sparse_match,18,train,0.03808,47.535,61.816,2.422048,0.3842
sparse_match,19,train,0.0736,59.945,56.127,0.812265,-0.0903
sparse_match,20,train,0.07106,57.241,64.359,1.489082,0.1729
sparse_match,21,train,0.04149,73.014,64.672,4.788758,0.6802
sparse_match,22,train,0.03073,71.329,76.284,2.489011,0.396
sparse_match,23,train,0.11304,74.042,69.747,3.1169,0.4937
sparse_match,24,train,0.06951,78.798,74.482,1.81641,0.2592
