condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
recon,140,0.15259,19.171,32,0.18002,-0.02743
recon,141,0.10469,22.381,36,0.17764,-0.07294
recon,142,0.10465,24.166,28,0.17645,-0.0718
recon,143,0.17995,24.221,16,0.17642,0.00353
recon,144,0.08607,44.915,24,0.14708,-0.06101
recon,145,0.21625,27.224,93,0.17462,0.04163
recon,146,0.11425,36.457,25,0.16054,-0.04629
recon,147,0.16253,30.347,32,0.17238,-0.00985
recon,148,0.13175,26.67,12,0.17493,-0.04319
recon,149,0.50735,16.631,27,0.18221,0.32514
recon,150,0.23507,15.436,52,0.18336,0.05171
recon,151,0.14439,34.652,25,0.16382,-0.01943
recon,152,0.11861,28.954,23,0.17367,-0.05506
recon,153,0.12151,105.916,691,0.08748,0.03404
recon,154,0.09888,44.433,15,0.14777,-0.0489
recon,155,0.36746,15.005,63,0.18379,0.18367
recon,156,0.13377,23.493,26,0.17689,-0.04312
recon,157,0.10941,19.628,58,0.17966,-0.07025
recon,158,0.0914,18.048,59,0.18095,-0.08955
recon,159,0.13378,30.274,92,0.17254,-0.03876
recon,160,0.21957,20.145,43,0.17926,0.04032
recon,161,0.18832,19.402,28,0.17984,0.00848
recon,162,0.25487,20.844,43,0.17873,0.07614
recon,163,0.13723,26.339,35,0.17513,-0.03789
recon,164,0.08679,33.374,14,0.16624,-0.07946
recon,165,0.16895,25.743,123,0.17548,-0.00653
recon,166,0.56504,27.724,74,0.17434,0.3907
recon,167,0.32925,20.241,34,0.17918,0.15007
recon,168,0.15252,24.007,18,0.17655,-0.02403
recon,169,0.21832,20.301,44,0.17914,0.03919
recon,170,0.19027,21.103,84,0.17854,0.01173
recon,171,0.13854,22.509,36,0.17755,-0.03901
recon,172,0.22992,18.446,27,0.18061,0.04931
recon,173,0.09186,35.558,21,0.16215,-0.07029
recon,174,0.25297,18.948,63,0.1802,0.07277
recon,175,0.15676,21.01,58,0.17861,-0.02185
recon,176,0.21402,24.201,22,0.17643,0.03759
recon,177,0.07904,33.485,6,0.16603,-0.08699
recon,178,0.10905,30.617,6,0.17181,-0.06276
recon,179,0.18181,14.485,28,0.1838,-0.00199
recon,180,0.22927,29.831,35,0.17321,0.05606
recon,181,0.2093,22.577,6,0.1775,0.03179
recon,182,0.24073,20.928,80,0.17867,0.06206
recon,183,0.17794,28.776,21,0.17376,0.00418
recon,184,0.2278,16.998,33,0.18187,0.04592
recon,185,0.08387,39.24,23,0.15579,-0.07192
recon,186,0.1556,32.418,13,0.16812,-0.01252
recon,187,0.16769,19.033,8,0.18013,-0.01245
recon,188,0.24622,20.696,44,0.17884,0.06738
recon,189,0.31552,28.521,44,0.1739,0.14162
recon,190,0.1531,21.642,85,0.17815,-0.02505
recon,191,0.14918,34.468,27,0.16416,-0.01498
recon,192,0.15089,28.293,33,0.17402,-0.02314
recon,193,0.14384,34.733,33,0.16367,-0.01982
recon,194,0.13986,20.347,44,0.1791,-0.03925
recon,195,0.07871,46.219,12,0.14523,-0.06652
recon,196,0.24336,26.096,67,0.17527,0.06809
recon,197,0.13749,20.938,51,0.17866,-0.04117
recon,198,0.21582,20.757,34,0.1788,0.03703
recon,199,0.14473,25.278,25,0.17576,-0.03103
naive,100,0.0501,73.421,8,0.11386,-0.06376
naive,101,0.04212,59.511,43,0.12892,-0.0868
naive,102,0.0738,50.201,33,0.1399,-0.0661
naive,103,0.03392,73.337,27,0.11394,-0.08002
naive,104,0.06388,60.846,25,0.12738,-0.0635
naive,105,0.08837,75.372,35,0.11197,-0.0236
naive,106,0.0511,71.69,51,0.11557,-0.06447
naive,107,0.05118,55.557,34,0.13335,-0.08217
naive,108,0.0614,67.904,74,0.11948,-0.05808
naive,109,0.10088,85.325,94,0.10304,-0.00216
