[verify] step0 checkpoint == fresh seed-0 init == const-run step0 (bit-exact, all tensors) -> untrained confirmed
step 27600: loss=0.000180 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 27900: loss=0.000179 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 28200: loss=0.000178 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 28500: loss=0.000177 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 28800: loss=0.000176 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 29100: loss=0.000176 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 29400: loss=0.000175 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 29700: loss=0.000174 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 30000: loss=0.000173 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
done: 104 checkpoints in 2004s -> /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/full_mnist_from_scratch/seed_0_ce_pl_f0.5_p100
/workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/full_mnist_from_scratch/seed_0_ce_pl_f0.5_p100: 104/104 records OK, 0 problems
[verify] manifest complete
